*tech,year,sc_point_gid,capacity
upv_4,2012,109597,0.4
upv_4,2012,110290,0.5
upv_4,2012,110291,0.7
upv_3,2012,110963,0.4
upv_4,2012,110975,1.1
upv_5,2012,110990,0.9
upv_3,2012,111097,1.5
upv_3,2012,111098,1.9
upv_4,2012,111672,0.9
upv_5,2012,111673,0.9
upv_5,2012,111674,0.9
upv_3,2012,111758,0.4
upv_5,2012,112339,0.5
upv_4,2012,112349,0.9
upv_3,2012,112441,0.9
upv_5,2012,113021,0.5
upv_4,2012,113714,1.0
upv_4,2012,115072,0.8
upv_4,2012,115078,1.0
upv_4,2012,115756,0.9
upv_4,2012,119988,1.5
upv_4,2012,126136,0.1
upv_5,2012,126819,5.4
upv_5,2012,136324,10.0
upv_2,2012,136574,0.5
upv_2,2012,136577,1.0
upv_2,2012,137258,0.5
upv_5,2012,141129,3.0
upv_5,2012,142480,21.0
upv_5,2012,145942,3.7
upv_5,2012,147968,0.2
upv_5,2012,158237,3.0
upv_4,2012,191310,25.0
upv_2,2013,52863,0.4
upv_1,2013,100277,9.0
upv_1,2013,100371,3.0
upv_4,2013,102071,1.2
upv_1,2013,102418,0.9
upv_4,2013,103446,0.9
upv_4,2013,104125,1.4
upv_4,2013,105495,1.0
upv_4,2013,105496,2.0
upv_4,2013,105504,3.0
upv_4,2013,105509,0.3
upv_4,2013,105510,0.3
upv_4,2013,105511,0.3
upv_4,2013,106191,0.3
upv_4,2013,106864,0.9
upv_4,2013,106873,1.0
upv_4,2013,107548,0.9
upv_4,2013,108245,0.5
upv_2,2013,108581,2.3
upv_4,2013,108924,0.5
upv_4,2013,108925,0.5
upv_4,2013,109597,0.4
upv_4,2013,110290,0.5
upv_4,2013,110291,0.7
upv_3,2013,110963,0.4
upv_4,2013,110975,1.1
upv_5,2013,110990,0.9
upv_3,2013,111097,1.5
upv_3,2013,111098,1.9
upv_4,2013,111672,0.9
upv_5,2013,111673,0.9
upv_5,2013,111674,0.9
upv_3,2013,111758,0.4
upv_5,2013,112339,0.5
upv_4,2013,112349,0.9
upv_3,2013,112441,0.9
upv_5,2013,113021,0.5
upv_4,2013,113714,1.0
upv_4,2013,115072,0.8
upv_4,2013,115078,1.0
upv_4,2013,115756,0.9
upv_4,2013,119988,1.5
upv_4,2013,126136,0.1
upv_5,2013,126819,5.4
upv_5,2013,136324,10.0
upv_2,2013,136574,0.5
upv_2,2013,136577,1.0
upv_2,2013,137258,0.5
upv_5,2013,141129,3.0
upv_5,2013,142480,21.0
upv_5,2013,145942,3.7
upv_5,2013,147968,0.2
upv_5,2013,158237,3.0
upv_4,2013,191310,25.0
upv_2,2014,52863,0.4
upv_1,2014,100277,9.0
upv_1,2014,100371,3.0
upv_4,2014,102071,1.2
upv_1,2014,102418,0.9
upv_4,2014,103446,0.9
upv_4,2014,104125,1.4
upv_4,2014,105495,1.0
upv_4,2014,105496,2.0
upv_4,2014,105504,3.0
upv_4,2014,105509,0.3
upv_4,2014,105510,0.3
upv_4,2014,105511,0.3
upv_4,2014,106191,0.3
upv_4,2014,106864,0.9
upv_4,2014,106873,1.0
upv_4,2014,107548,0.9
upv_4,2014,108245,0.5
upv_2,2014,108581,2.3
upv_4,2014,108924,0.5
upv_4,2014,108925,0.5
upv_4,2014,109597,0.4
upv_4,2014,110290,0.5
upv_4,2014,110291,0.7
upv_3,2014,110963,0.4
upv_4,2014,110975,1.1
upv_5,2014,110990,0.9
upv_3,2014,111097,1.5
upv_3,2014,111098,1.9
upv_4,2014,111672,0.9
upv_5,2014,111673,0.9
upv_5,2014,111674,0.9
upv_3,2014,111758,0.4
upv_5,2014,112339,0.5
upv_4,2014,112349,0.9
upv_3,2014,112441,0.9
upv_5,2014,113021,0.5
upv_4,2014,113714,1.0
upv_4,2014,115072,0.8
upv_4,2014,115078,1.0
upv_4,2014,115756,0.9
upv_4,2014,119988,1.5
upv_4,2014,126136,0.1
upv_5,2014,126819,5.4
upv_5,2014,136324,10.0
upv_2,2014,136574,0.5
upv_2,2014,136577,1.0
upv_2,2014,137258,0.5
upv_5,2014,141129,3.0
upv_5,2014,142480,21.0
upv_5,2014,145942,3.7
upv_5,2014,147968,0.2
upv_5,2014,158237,3.0
upv_4,2014,191310,25.0
upv_2,2015,52863,0.4
upv_1,2015,100277,9.0
upv_1,2015,100371,3.0
upv_4,2015,102071,1.2
upv_1,2015,102418,0.9
upv_4,2015,103446,0.9
upv_4,2015,104125,1.4
upv_4,2015,105495,1.0
upv_4,2015,105496,2.0
upv_4,2015,105504,3.0
upv_4,2015,105509,0.3
upv_4,2015,105510,0.3
upv_4,2015,105511,0.3
upv_4,2015,106191,0.3
upv_4,2015,106864,0.9
upv_4,2015,106873,1.0
upv_4,2015,107548,0.9
upv_4,2015,108245,0.5
upv_2,2015,108581,2.3
upv_4,2015,108924,0.5
upv_4,2015,108925,0.5
upv_4,2015,109597,0.4
upv_4,2015,110290,0.5
upv_4,2015,110291,0.7
upv_3,2015,110963,0.4
upv_4,2015,110975,1.1
upv_5,2015,110990,0.9
upv_3,2015,111097,1.5
upv_3,2015,111098,1.9
upv_4,2015,111672,0.9
upv_5,2015,111673,0.9
upv_5,2015,111674,0.9
upv_3,2015,111758,0.4
upv_5,2015,112339,0.5
upv_4,2015,112349,0.9
upv_3,2015,112441,0.9
upv_5,2015,113021,0.5
upv_4,2015,113714,1.0
upv_4,2015,115072,0.8
upv_4,2015,115078,1.0
upv_4,2015,115756,0.9
upv_4,2015,119988,1.5
upv_4,2015,126136,0.1
upv_5,2015,126819,5.4
upv_5,2015,136324,10.0
upv_2,2015,136574,0.5
upv_2,2015,136577,1.0
upv_2,2015,137258,0.5
upv_5,2015,141129,3.0
upv_5,2015,142480,21.0
upv_5,2015,145942,3.7
upv_5,2015,147968,0.2
upv_5,2015,158237,3.0
upv_4,2015,191310,25.0
upv_2,2016,52863,0.4
upv_1,2016,100277,9.0
upv_1,2016,100371,3.0
upv_4,2016,102071,1.2
upv_1,2016,102418,0.9
upv_4,2016,103446,0.9
upv_4,2016,104125,1.4
upv_4,2016,105495,1.0
upv_4,2016,105496,2.0
upv_4,2016,105504,3.0
upv_4,2016,105509,0.3
upv_4,2016,105510,0.3
upv_4,2016,105511,0.3
upv_4,2016,106191,0.3
upv_4,2016,106864,0.9
upv_4,2016,106873,1.0
upv_4,2016,107548,0.9
upv_4,2016,108245,0.5
upv_2,2016,108581,2.3
upv_4,2016,108924,0.5
upv_4,2016,108925,0.5
upv_4,2016,109597,0.4
upv_4,2016,110290,0.5
upv_4,2016,110291,0.7
upv_3,2016,110963,0.4
upv_4,2016,110975,1.1
upv_5,2016,110990,0.9
upv_3,2016,111097,1.5
upv_3,2016,111098,1.9
upv_4,2016,111672,0.9
upv_5,2016,111673,0.9
upv_5,2016,111674,0.9
upv_3,2016,111758,0.4
upv_5,2016,112339,0.5
upv_4,2016,112349,0.9
upv_3,2016,112441,0.9
upv_5,2016,113021,0.5
upv_4,2016,113714,1.0
upv_4,2016,115072,0.8
upv_4,2016,115078,1.0
upv_4,2016,115756,0.9
upv_4,2016,119988,1.5
upv_4,2016,126136,0.1
upv_5,2016,126819,5.4
upv_5,2016,136324,10.0
upv_2,2016,136574,0.5
upv_2,2016,136577,1.0
upv_2,2016,137258,0.5
upv_5,2016,141129,3.0
upv_5,2016,142480,21.0
upv_5,2016,145942,3.7
upv_5,2016,147968,0.2
upv_5,2016,158237,3.0
upv_4,2016,191310,25.0
upv_2,2017,52863,0.4
upv_1,2017,100277,9.0
upv_1,2017,100371,3.0
upv_4,2017,102071,1.2
upv_1,2017,102418,0.9
upv_4,2017,103446,0.9
upv_4,2017,104125,1.4
upv_4,2017,105495,1.0
upv_4,2017,105496,2.0
upv_4,2017,105504,3.0
upv_4,2017,105509,0.3
upv_4,2017,105510,0.3
upv_4,2017,105511,0.3
upv_4,2017,106191,0.3
upv_4,2017,106864,0.9
upv_4,2017,106873,1.0
upv_4,2017,107548,0.9
upv_4,2017,108245,0.5
upv_2,2017,108581,2.3
upv_4,2017,108924,0.5
upv_4,2017,108925,0.5
upv_4,2017,109597,0.4
upv_4,2017,110290,0.5
upv_4,2017,110291,0.7
upv_3,2017,110963,0.4
upv_4,2017,110975,1.1
upv_5,2017,110990,0.9
upv_3,2017,111097,1.5
upv_3,2017,111098,1.9
upv_4,2017,111672,0.9
upv_5,2017,111673,0.9
upv_5,2017,111674,0.9
upv_3,2017,111758,0.4
upv_5,2017,112339,0.5
upv_4,2017,112349,0.9
upv_3,2017,112441,0.9
upv_5,2017,113021,0.5
upv_4,2017,113714,1.0
upv_4,2017,115072,0.8
upv_4,2017,115078,1.0
upv_4,2017,115756,0.9
upv_4,2017,119988,1.5
upv_4,2017,126136,0.1
upv_5,2017,126819,5.4
upv_5,2017,136324,10.0
upv_2,2017,136574,0.5
upv_2,2017,136577,1.0
upv_2,2017,137258,0.5
upv_5,2017,141129,3.0
upv_5,2017,142480,21.0
upv_5,2017,145942,3.7
upv_5,2017,147968,0.2
upv_5,2017,158237,3.0
upv_4,2017,191310,25.0
upv_2,2018,52863,0.4
upv_1,2018,100277,9.0
upv_1,2018,100371,3.0
upv_4,2018,102071,1.2
upv_1,2018,102418,0.9
upv_4,2018,103446,0.9
upv_4,2018,104125,1.4
upv_4,2018,105495,1.0
upv_4,2018,105496,2.0
upv_4,2018,105504,3.0
upv_4,2018,105509,0.3
upv_4,2018,105510,0.3
upv_4,2018,105511,0.3
upv_4,2018,106191,0.3
upv_4,2018,106864,0.9
upv_4,2018,106873,1.0
upv_4,2018,107548,0.9
upv_4,2018,108245,0.5
upv_2,2018,108581,2.3
upv_4,2018,108924,0.5
upv_4,2018,108925,0.5
upv_4,2018,109597,0.4
upv_4,2018,110290,0.5
upv_4,2018,110291,0.7
upv_3,2018,110963,0.4
upv_4,2018,110975,1.1
upv_5,2018,110990,0.9
upv_3,2018,111097,1.5
upv_3,2018,111098,1.9
upv_4,2018,111672,0.9
upv_5,2018,111673,0.9
upv_5,2018,111674,0.9
upv_3,2018,111758,0.4
upv_5,2018,112339,0.5
upv_4,2018,112349,0.9
upv_3,2018,112441,0.9
upv_5,2018,113021,0.5
upv_4,2018,113714,1.0
upv_4,2018,115072,0.8
upv_4,2018,115078,1.0
upv_4,2018,115756,0.9
upv_4,2018,119988,1.5
upv_4,2018,126136,0.1
upv_5,2018,126819,5.4
upv_5,2018,136324,10.0
upv_2,2018,136574,0.5
upv_2,2018,136577,1.0
upv_2,2018,137258,0.5
upv_5,2018,141129,3.0
upv_5,2018,142480,21.0
upv_5,2018,145942,3.7
upv_5,2018,147968,0.2
upv_5,2018,158237,3.0
upv_4,2018,191310,25.0
upv_2,2019,52863,0.4
upv_1,2019,100277,9.0
upv_1,2019,100371,3.0
upv_4,2019,102071,1.2
upv_1,2019,102418,0.9
upv_4,2019,103446,0.9
upv_4,2019,104125,1.4
upv_4,2019,105495,1.0
upv_4,2019,105496,2.0
upv_4,2019,105504,3.0
upv_4,2019,105509,0.3
upv_4,2019,105510,0.3
upv_4,2019,105511,0.3
upv_4,2019,106191,0.3
upv_4,2019,106864,0.9
upv_4,2019,106873,1.0
upv_4,2019,107548,0.9
upv_4,2019,108245,0.5
upv_2,2019,108581,2.3
upv_4,2019,108924,0.5
upv_4,2019,108925,0.5
upv_4,2019,109597,0.4
upv_4,2019,110290,0.5
upv_4,2019,110291,0.7
upv_3,2019,110963,0.4
upv_4,2019,110975,1.1
upv_5,2019,110990,0.9
upv_3,2019,111097,1.5
upv_3,2019,111098,1.9
upv_4,2019,111672,0.9
upv_5,2019,111673,0.9
upv_5,2019,111674,0.9
upv_3,2019,111758,0.4
upv_5,2019,112339,0.5
upv_4,2019,112349,0.9
upv_3,2019,112441,0.9
upv_5,2019,113021,0.5
upv_4,2019,113714,1.0
upv_4,2019,115072,0.8
upv_4,2019,115078,1.0
upv_4,2019,115756,0.9
upv_4,2019,119988,1.5
upv_4,2019,126136,0.1
upv_5,2019,126819,5.4
upv_5,2019,136324,10.0
upv_2,2019,136574,0.5
upv_2,2019,136577,1.0
upv_2,2019,137258,0.5
upv_5,2019,141129,3.0
upv_5,2019,142480,21.0
upv_5,2019,145942,3.7
upv_5,2019,147968,0.2
upv_5,2019,158237,3.0
upv_4,2019,191310,25.0
upv_2,2020,52863,0.4
upv_1,2020,100277,9.0
upv_1,2020,100371,3.0
upv_4,2020,102071,1.2
upv_1,2020,102418,0.9
upv_4,2020,103446,0.9
upv_4,2020,104125,1.4
upv_4,2020,105495,1.0
upv_4,2020,105496,2.0
upv_4,2020,105504,3.0
upv_4,2020,105509,0.3
upv_4,2020,105510,0.3
upv_4,2020,105511,0.3
upv_4,2020,106191,0.3
upv_4,2020,106864,0.9
upv_4,2020,106873,1.0
upv_4,2020,107548,0.9
upv_4,2020,108245,0.5
upv_2,2020,108581,2.3
upv_4,2020,108924,0.5
upv_4,2020,108925,0.5
upv_4,2020,109597,0.4
upv_4,2020,110290,0.5
upv_4,2020,110291,0.7
upv_3,2020,110963,0.4
upv_4,2020,110975,1.1
upv_5,2020,110990,0.9
upv_3,2020,111097,1.5
upv_3,2020,111098,1.9
upv_4,2020,111672,0.9
upv_5,2020,111673,0.9
upv_5,2020,111674,0.9
upv_3,2020,111758,0.4
upv_5,2020,112339,0.5
upv_4,2020,112349,0.9
upv_3,2020,112441,0.9
upv_5,2020,113021,0.5
upv_4,2020,113714,1.0
upv_4,2020,115072,0.8
upv_4,2020,115078,1.0
upv_4,2020,115756,0.9
upv_4,2020,119988,1.5
upv_4,2020,126136,0.1
upv_5,2020,126819,5.4
upv_5,2020,136324,10.0
upv_2,2020,136574,0.5
upv_2,2020,136577,1.0
upv_2,2020,137258,0.5
upv_5,2020,141129,3.0
upv_5,2020,142480,21.0
upv_5,2020,145942,3.7
upv_5,2020,147968,0.2
upv_5,2020,158237,3.0
upv_4,2020,191310,25.0
upv_2,2021,52863,0.4
upv_1,2021,100277,9.0
upv_1,2021,100371,3.0
upv_4,2021,102071,1.2
upv_1,2021,102418,0.9
upv_4,2021,103446,0.9
upv_4,2021,104125,1.4
upv_4,2021,105495,1.0
upv_4,2021,105496,2.0
upv_4,2021,105504,3.0
upv_4,2021,105509,0.3
upv_4,2021,105510,0.3
upv_4,2021,105511,0.3
upv_4,2021,106191,0.3
upv_4,2021,106864,0.9
upv_4,2021,106873,1.0
upv_4,2021,107548,0.9
upv_4,2021,108245,0.5
upv_2,2021,108581,2.3
upv_4,2021,108924,0.5
upv_4,2021,108925,0.5
upv_4,2021,109597,0.4
upv_4,2021,110290,0.5
upv_4,2021,110291,0.7
upv_3,2021,110963,0.4
upv_4,2021,110975,1.1
upv_5,2021,110990,0.9
upv_3,2021,111097,1.5
upv_3,2021,111098,1.9
upv_4,2021,111672,0.9
upv_5,2021,111673,0.9
upv_5,2021,111674,0.9
upv_3,2021,111758,0.4
upv_5,2021,112339,0.5
upv_4,2021,112349,0.9
upv_3,2021,112441,0.9
upv_5,2021,113021,0.5
upv_4,2021,113714,1.0
upv_4,2021,115072,0.8
upv_4,2021,115078,1.0
upv_4,2021,115756,0.9
upv_4,2021,119988,1.5
upv_4,2021,126136,0.1
upv_5,2021,126819,5.4
upv_5,2021,136324,10.0
upv_2,2021,136574,0.5
upv_2,2021,136577,1.0
upv_2,2021,137258,0.5
upv_5,2021,141129,3.0
upv_5,2021,142480,21.0
upv_5,2021,145942,3.7
upv_5,2021,147968,0.2
upv_5,2021,158237,3.0
upv_4,2021,191310,25.0
upv_2,2022,52863,0.4
upv_1,2022,100277,9.0
upv_1,2022,100371,3.0
upv_4,2022,102071,1.2
upv_1,2022,102418,0.9
upv_4,2022,103446,0.9
upv_4,2022,104125,1.4
upv_4,2022,105495,1.0
upv_4,2022,105496,2.0
upv_4,2022,105504,3.0
upv_4,2022,105509,0.3
upv_4,2022,105510,0.3
upv_4,2022,105511,0.3
upv_4,2022,106191,0.3
upv_4,2022,106864,0.9
upv_4,2022,106873,1.0
upv_4,2022,107548,0.9
upv_4,2022,108245,0.5
upv_2,2022,108581,2.3
upv_4,2022,108924,0.5
upv_4,2022,108925,0.5
upv_4,2022,109597,0.4
upv_4,2022,110290,0.5
upv_4,2022,110291,0.7
upv_3,2022,110963,0.4
upv_4,2022,110975,1.1
upv_5,2022,110990,0.9
upv_3,2022,111097,1.5
upv_3,2022,111098,1.9
upv_4,2022,111672,0.9
upv_5,2022,111673,0.9
upv_5,2022,111674,0.9
upv_3,2022,111758,0.4
upv_5,2022,112339,0.5
upv_4,2022,112349,0.9
upv_3,2022,112441,0.9
upv_5,2022,113021,0.5
upv_4,2022,113714,1.0
upv_4,2022,115072,0.8
upv_4,2022,115078,1.0
upv_4,2022,115756,0.9
upv_4,2022,119988,1.5
upv_4,2022,126136,0.1
upv_5,2022,126819,5.4
upv_5,2022,136324,10.0
upv_2,2022,136574,0.5
upv_2,2022,136577,1.0
upv_2,2022,137258,0.5
upv_5,2022,141129,3.0
upv_5,2022,142480,21.0
upv_5,2022,145942,3.7
upv_5,2022,147968,0.2
upv_5,2022,158237,3.0
upv_4,2022,191310,25.0
upv_2,2023,52863,0.4
upv_1,2023,100277,9.0
upv_1,2023,100371,3.0
upv_4,2023,102071,1.2
upv_1,2023,102418,0.9
upv_4,2023,103446,0.9
upv_4,2023,104125,1.4
upv_4,2023,105495,1.0
upv_4,2023,105496,2.0
upv_4,2023,105504,3.0
upv_4,2023,105509,0.3
upv_4,2023,105510,0.3
upv_4,2023,105511,0.3
upv_4,2023,106191,0.3
upv_4,2023,106864,0.9
upv_4,2023,106873,1.0
upv_4,2023,107548,0.9
upv_4,2023,108245,0.5
upv_2,2023,108581,2.3
upv_4,2023,108924,0.5
upv_4,2023,108925,0.5
upv_4,2023,109597,0.4
upv_4,2023,110290,0.5
upv_4,2023,110291,0.7
upv_3,2023,110963,0.4
upv_4,2023,110975,1.1
upv_5,2023,110990,0.9
upv_3,2023,111097,1.5
upv_3,2023,111098,1.9
upv_4,2023,111672,0.9
upv_5,2023,111673,0.9
upv_5,2023,111674,0.9
upv_3,2023,111758,0.4
upv_5,2023,112339,0.5
upv_4,2023,112349,0.9
upv_3,2023,112441,0.9
upv_5,2023,113021,0.5
upv_4,2023,113714,1.0
upv_4,2023,115072,0.8
upv_4,2023,115078,1.0
upv_4,2023,115756,0.9
upv_4,2023,119988,1.5
upv_4,2023,126136,0.1
upv_5,2023,126819,5.4
upv_5,2023,136324,10.0
upv_2,2023,136574,0.5
upv_2,2023,136577,1.0
upv_2,2023,137258,0.5
upv_5,2023,141129,3.0
upv_5,2023,142480,21.0
upv_5,2023,145942,3.7
upv_5,2023,147968,0.2
upv_5,2023,158237,3.0
upv_4,2023,191310,25.0
upv_2,2024,52863,0.4
upv_1,2024,100277,9.0
upv_1,2024,100371,3.0
upv_4,2024,102071,1.2
upv_1,2024,102418,0.9
upv_4,2024,103446,0.9
upv_4,2024,104125,1.4
upv_4,2024,105495,1.0
upv_4,2024,105496,2.0
upv_4,2024,105504,3.0
upv_4,2024,105509,0.3
upv_4,2024,105510,0.3
upv_4,2024,105511,0.3
upv_4,2024,106191,0.3
upv_4,2024,106864,0.9
upv_4,2024,106873,1.0
upv_4,2024,107548,0.9
upv_4,2024,108245,0.5
upv_2,2024,108581,2.3
upv_4,2024,108924,0.5
upv_4,2024,108925,0.5
upv_4,2024,109597,0.4
upv_4,2024,110290,0.5
upv_4,2024,110291,0.7
upv_3,2024,110963,0.4
upv_4,2024,110975,1.1
upv_5,2024,110990,0.9
upv_3,2024,111097,1.5
upv_3,2024,111098,1.9
upv_4,2024,111672,0.9
upv_5,2024,111673,0.9
upv_5,2024,111674,0.9
upv_3,2024,111758,0.4
upv_4,2024,112349,0.9
upv_3,2024,112441,0.9
upv_4,2024,113714,1.0
upv_4,2024,115072,0.8
upv_4,2024,115078,1.0
upv_4,2024,115756,0.9
upv_4,2024,119988,1.5
upv_4,2024,126136,0.1
upv_5,2024,126819,5.4
upv_5,2024,136324,10.0
upv_2,2024,136574,0.5
upv_2,2024,136577,1.0
upv_2,2024,137258,0.5
upv_5,2024,141129,3.0
upv_5,2024,142480,21.0
upv_5,2024,145942,3.7
upv_5,2024,147968,0.2
upv_5,2024,158237,3.0
upv_4,2024,191310,25.0
upv_2,2025,52863,0.4
upv_1,2025,100277,9.0
upv_1,2025,100371,3.0
upv_4,2025,102071,1.2
upv_1,2025,102418,0.9
upv_4,2025,103446,0.9
upv_4,2025,104125,1.4
upv_4,2025,105495,1.0
upv_4,2025,105496,2.0
upv_4,2025,105504,3.0
upv_4,2025,105509,0.3
upv_4,2025,105510,0.3
upv_4,2025,105511,0.3
upv_4,2025,106191,0.3
upv_4,2025,106864,0.9
upv_4,2025,106873,1.0
upv_4,2025,107548,0.9
upv_4,2025,108245,0.5
upv_2,2025,108581,2.3
upv_4,2025,108924,0.5
upv_4,2025,108925,0.5
upv_4,2025,109597,0.4
upv_4,2025,110290,0.5
upv_4,2025,110291,0.7
upv_3,2025,110963,0.4
upv_4,2025,110975,1.1
upv_5,2025,110990,0.9
upv_3,2025,111097,1.5
upv_3,2025,111098,1.9
upv_4,2025,111672,0.9
upv_5,2025,111673,0.9
upv_5,2025,111674,0.9
upv_3,2025,111758,0.4
upv_4,2025,112349,0.9
upv_3,2025,112441,0.9
upv_4,2025,113714,1.0
upv_4,2025,115072,0.8
upv_4,2025,115078,1.0
upv_4,2025,115756,0.9
upv_4,2025,119988,1.5
upv_4,2025,126136,0.1
upv_5,2025,126819,5.4
upv_5,2025,136324,10.0
upv_2,2025,136574,0.5
upv_2,2025,136577,1.0
upv_2,2025,137258,0.5
upv_5,2025,141129,3.0
upv_5,2025,142480,21.0
upv_5,2025,145942,3.7
upv_5,2025,147968,0.2
upv_5,2025,158237,3.0
upv_4,2025,191310,25.0
upv_2,2026,52863,0.4
upv_1,2026,100277,9.0
upv_1,2026,100371,3.0
upv_4,2026,102071,1.2
upv_1,2026,102418,0.9
upv_4,2026,103446,0.9
upv_4,2026,104125,1.4
upv_4,2026,105495,1.0
upv_4,2026,105496,2.0
upv_4,2026,105504,3.0
upv_4,2026,105509,0.3
upv_4,2026,105510,0.3
upv_4,2026,105511,0.3
upv_4,2026,106191,0.3
upv_4,2026,106864,0.9
upv_4,2026,106873,1.0
upv_4,2026,107548,0.9
upv_4,2026,108245,0.5
upv_2,2026,108581,2.3
upv_4,2026,108924,0.5
upv_4,2026,108925,0.5
upv_4,2026,109597,0.4
upv_4,2026,110290,0.5
upv_4,2026,110291,0.7
upv_3,2026,110963,0.4
upv_4,2026,110975,1.1
upv_5,2026,110990,0.9
upv_3,2026,111097,1.5
upv_3,2026,111098,1.9
upv_4,2026,111672,0.9
upv_5,2026,111673,0.9
upv_5,2026,111674,0.9
upv_3,2026,111758,0.4
upv_4,2026,112349,0.9
upv_3,2026,112441,0.9
upv_4,2026,113714,1.0
upv_4,2026,115072,0.8
upv_4,2026,115078,1.0
upv_4,2026,115756,0.9
upv_4,2026,119988,1.5
upv_4,2026,126136,0.1
upv_5,2026,126819,5.4
upv_5,2026,136324,10.0
upv_2,2026,136574,0.5
upv_2,2026,136577,1.0
upv_2,2026,137258,0.5
upv_5,2026,141129,3.0
upv_5,2026,142480,21.0
upv_5,2026,145942,3.7
upv_5,2026,147968,0.2
upv_5,2026,158237,3.0
upv_4,2026,191310,25.0
upv_2,2027,52863,0.4
upv_1,2027,100277,9.0
upv_1,2027,100371,3.0
upv_4,2027,102071,1.2
upv_1,2027,102418,0.9
upv_4,2027,103446,0.9
upv_4,2027,104125,1.4
upv_4,2027,105495,1.0
upv_4,2027,105496,2.0
upv_4,2027,105504,3.0
upv_4,2027,105509,0.3
upv_4,2027,105510,0.3
upv_4,2027,105511,0.3
upv_4,2027,106191,0.3
upv_4,2027,106864,0.9
upv_4,2027,106873,1.0
upv_4,2027,107548,0.9
upv_4,2027,108245,0.5
